Scheduler,Trace File,Throughput,Avg Turnaround,Avg Wait,Avg Response
EP,test10,0.003030,585.00,245.00,5.00
EP,test11,0.001667,1000.00,400.00,400.00
EP,test12,0.002143,1050.00,583.33,583.33
EP,test13,0.002000,750.00,250.00,250.00
EP,test14,0.001667,1105.00,480.00,5.00
EP,test15,0.000588,1950.00,250.00,250.00
EP,test16,0.002000,1750.00,1250.00,1250.00
EP,test17,0.000579,7728.57,6000.00,6000.00
EP,test18,0.001481,2011.67,1336.67,1336.67
EP,test19,0.001765,1350.00,783.33,783.33
EP,test1,0.100000,10.00,0.00,0.00
EP,test20,0.001250,1714.00,854.00,834.00
EP,test2,0.100000,10.00,0.00,0.00
EP,test3,0.133333,11.00,3.50,3.50
EP,test4,0.142857,9.50,1.50,0.00
EP,test5,0.003333,600.00,300.00,300.00
EP,test6,0.002500,1100.00,700.00,700.00
EP,test7,0.015789,93.33,30.00,30.00
EP,test8,0.003636,525.00,25.00,25.00
EP,test9,0.001724,1055.00,475.00,475.00
RR,test10,0.003333,545.00,205.00,5.00
RR,test11,0.001667,800.00,200.00,50.00
RR,test12,0.002143,750.00,283.33,83.33
RR,test13,0.002000,950.00,450.00,50.00
RR,test14,0.001905,800.00,175.00,50.00
RR,test15,0.000694,1740.50,50.00,10.00
RR,test16,0.002000,2750.00,2250.00,250.00
RR,test17,0.000579,11800.00,10071.43,1928.57
RR,test18,0.001481,753.33,78.33,70.00
RR,test19,0.001765,1083.33,516.67,416.67
RR,test1,0.100000,10.00,0.00,0.00
RR,test20,0.001477,1239.00,379.00,122.00
RR,test2,0.100000,10.00,0.00,0.00
RR,test3,0.133333,11.00,3.50,3.50
RR,test4,0.153846,9.00,1.00,0.00
RR,test5,0.003333,800.00,500.00,100.00
RR,test6,0.002500,566.67,166.67,100.00
RR,test7,0.015789,96.67,33.33,33.33
RR,test8,0.003656,522.00,23.50,25.00
RR,test9,0.001887,685.00,105.00,25.00
EP_RR,test10,0.003333,383.00,45.00,5.00
EP_RR,test11,0.001667,700.00,100.00,0.00
EP_RR,test12,0.002143,666.67,200.00,0.00
EP_RR,test13,0.002000,750.00,250.00,250.00
EP_RR,test14,0.001905,648.00,25.00,5.00
EP_RR,test15,0.000592,1938.00,238.00,250.00
EP_RR,test16,0.002000,1750.00,1250.00,1250.00
EP_RR,test17,0.000579,7728.57,6000.00,6000.00
EP_RR,test18,0.001481,2011.67,1336.67,1336.67
EP_RR,test19,0.001765,1350.00,783.33,783.33
EP_RR,test1,0.100000,10.00,0.00,0.00
EP_RR,test20,0.001290,1713.20,853.20,842.00
EP_RR,test2,0.100000,10.00,0.00,0.00
EP_RR,test3,0.133333,10.00,2.50,0.00
EP_RR,test4,0.153846,9.00,1.00,0.00
EP_RR,test5,0.003333,600.00,300.00,300.00
EP_RR,test6,0.002500,1100.00,700.00,700.00
EP_RR,test7,0.015789,116.67,53.33,0.00
EP_RR,test8,0.003656,522.00,23.50,25.00
EP_RR,test9,0.001887,609.00,30.00,0.00
